1ST AVE
1ST AVE LOOP
1ST PL
1ST ST (SEE E 1ST ST BELOW)
2ND AVE
2ND PL
2ND ST (SEE E 2ND ST BELOW)
3RD AVE
3RD AVE
3RD PL
4TH AVE
5TH AVE
6 AVE
7TH AVE S
7TH AVE
8TH AVE
9TH AVE
10TH AVE
11TH AVE
12TH AVE
59TH ST BRIDGE
65TH STREET TRANSVERSE
6TH AVE
65TH STREET TRANSVERSE
72ND ST TRANSVERSE (AKA TERRACE DRIVE)
79TH STREET TRANSVERSE
85TH ST TRANSVERSE
86TH STREET TRANSVERSE
97TH STREET TRANSVERSE
102ND STREET CROSSING
145TH ST BRIDGE
ABINGDON SQUARE
ABRAHAM KAZAN ST
ABRAHAM KAZAN ST
ABRAHAM PL
ABSECON RD
ACADEMY ST
ADAM CLAYTON POWELL JR BLVD
ADRIAN AVE
ALAN ST
ALBANY ST
ALLEN ST
AMSTERDAM AVE
AMSTERDAM AVE
ANDES RD
ANN ST
ARDEN ST
ASSER LEVY PL
ASTOR PL
ATTORNEY ST
AUDUBON AVE
AVENUE A
AVENUE B
AVENUE C
AVENUE D
AVENUE OF THE FINEST
AVENUE OF THE STRONGEST
BANK ST
BARCLAY ST
BARROW ST
BARROW ST
BARRY RD
BARUCH DR
BARUCH PL
BATTERY PARK UNDERPASS
BATTERY PL
BAXTER ST
BAYARD ST
BEACH ST
BEAK ST
BEAR RD
BEAVER ST
BEDFORD ST
BEEKMAN PL
BEEKMAN ST
BENNETT AVE
BENSON ST
BERNARD BARUCH WAY
BETHUNE ST
BIALYSTOKER PL
BIALYSTOKER ST
BLEECKER ST
BLOOMFIELD ST
BOGARDUS PL
BOND ST
BRADHURST AVE
BRIDGE ST
BROAD ST
BROADWAY
BROADWAY TERRACE
BROOKLYN BATTERY TUNNEL
BROOKLYN BRIDGE
BROOME ST
CABRINI BLVD
CANAL ST
CANNON ST
CARDER RD
CARDINAL HAYES PL
CARLISLE ST
CARMINE ST
CARTIGAN RD
CATHEDRAL PKWY
CATHERINE LN
CATHERINE SLIP
CATHERINE ST
CEDAR ST
CENTER DR
CENTRAL PARK DRIVEWAY
CENTRAL PARK N
CENTRAL PARK S
CENTRAL PARK WEST
CENTRAL RD
CENTRE MARKET PL
CENTRE ST
CENTRE ST
CHAMBERS ST
CHARLES LN
CHARLES ST
CHARLTON ST
CHATHAM SQUARE
CHEROKEE PL
CHERRY ST
CHINCOTEAGUE RD
CHISUM PL
CHITTENDEN AVE
CHRISTOPHER ST
CHRYSTIE ST
CHURCH ST
CLAREMONT AVE
CLARKSON ST
CLAYTON RD
CLEVELAND PL
CLIFF ST
CLINTON ST
COENTIES ALLEY
COENTIES SLIP
COLLISTER ST
COLONEL ROBERT MAGAW PL
COLUMBIA ST
COLUMBUS AVE
COLUMBUS CIR
COMFORT RD
COMMERCE ST
CONVENT AVE
COOPER SQUARE
COOPER ST
CORNELIA ST
CORTLANDT ALLEY
CORTLANDT ST
CRAIG RD N
CRAIG RD S
CROSBY ST
CTRL PARK POWELL BLVD APPR
CUMMING ST
DE PEYSTER ST
DELANCEY ST
DELANCEY ST S
DESBROSSES ST
DEY ST
DIVISION RD
DIVISION ST
DOMINICK ST
DONGAN PL
DONNELLON SQUARE
DORIS C FREEDMAN PL
DOVER ST
DOWNING ST
DOYERS ST
DUANE ST
DUKE ELLINGTON BLVD
DUTCH ST
DYCKMAN ST
DYER AVE
E 100TH ST
E 101ST ST
E 102ND ST
E 103RD ST
E 104TH ST
E 105TH ST
E 106TH ST
E 108TH ST
E 109TH ST
E 10TH ST
E 10TH ST
E 110TH ST
E 111TH ST
E 112TH ST
E 113TH ST
E 114TH ST
E 115TH ST
E 116TH ST
E 117TH ST
E 118TH ST
E 119TH ST
E 11TH ST
E 120TH ST
E 121ST ST
E 122ND ST
E 123RD ST
E 124TH ST
E 125TH ST
E 126TH ST
E 127TH ST
E 128TH ST
E 129TH ST
E 12TH ST
E 130TH ST
E 131ST ST
E 132ND ST
E 135TH ST
E 138TH ST
E 13TH ST
E 14TH ST
E 15TH ST
E 16TH ST
E 17TH ST
E 18TH ST
E 19TH ST
E 1ST ST
E 20TH ST
E 21ST ST
E 22ND ST
E 23RD ST
E 24TH ST
E 25TH ST
E 26TH ST
E 27TH ST
E 28TH ST
E 29TH ST
E 2ND ST
E 30TH ST
E 31ST ST
E 32ND ST
E 33RD ST
E 34TH ST
E 35TH ST
E 36TH ST
E 37TH ST
E 38TH ST
E 39TH ST
E 3RD ST
E 40TH ST
E 41ST ST
E 42ND ST
E 43RD ST
E 44TH ST
E 45TH ST
E 46TH ST
E 47TH ST
E 48TH ST
E 49TH ST
E 4TH ST
E 4TH ST
E 4TH WALK
E 50TH ST
E 51ST ST
E 51ST STREET PEDESTRIAN CROSSING
E 52ND ST
E 53RD ST
E 54TH ST
E 55TH ST
E 56TH ST
E 57TH ST
E 58TH ST
E 59TH ST
E 5TH ST
E 60TH ST
E 61ST ST
E 62ND ST
E 63RD ST
E 64TH ST
E 65TH ST
E 66TH ST
E 67TH ST
E 68TH ST
E 69TH ST
E 6TH ST
E 70TH ST
E 71ST ST
E 72ND ST
E 73RD ST
E 74TH ST
E 75TH ST
E 76TH ST
E 77TH ST
E 78TH ST
E 79TH ST
E 7TH ST
E 80TH ST
E 81ST ST
E 82ND ST
E 83RD ST
E 84TH ST
E 85TH ST
E 86TH ST
E 87TH ST
E 88TH ST
E 89TH ST
E 8TH ST
E 90TH ST
E 91ST ST
E 92ND ST
E 93RD ST
E 94TH ST
E 95TH ST
E 96TH ST
E 97TH ST
E 98TH ST
E 99TH ST
E 107TH ST
E 9TH ST
E BROADWAY
E HOUSTON ST
E RD
E RD
E RIVER DR
E RIVER PIERS
EAST DR
EAST END AVE
EDENS ALLEY
EDGAR ALLEN POE ST
EDGAR ST
EDGECOMBE AVE
EDWARD M MORGAN PL
ELDERT LN
ELDRIDGE ST
ELIZABETH ST
ELK ST
ELLWOOD ST
ENRIGHT RD
ERICSSON PL
ESCANABA RD
ESPLANADE GARDENS PLAZA
ESSEX ST
EVANS RD
EXCHANGE ALLEY
EXCHANGE PL
EXCHANGE PLAZA
EXTRA PL
F D R DRIVE SERVICE RD E
FAIRVIEW AVE
FASHION AVE
FDR DR
FDR DR
FDR DR
FDR DR
FDR DRIVE SERVICE RD E
FEDERAL PLAZA
FERRY LINE RD
FLETCHER ST
FORSYTH ST
FORT CHARLES PL
FORT GEORGE AVE
FORT GEORGE HILL
FORT WASHINGTON AVE
FRANKFORT ST
FRANKLIN D. ROOSEVELT EAST RIVER DR
FRANKLIN PL
FRANKLIN ST
FRAWLEY CIR
FRED DOUGLASS CIR
FREDERICK DOUGLASS BLVD
FREDERICK DOUGLASS CIR
FREEDOM PL
FREEMAN ALLEY
FRONT ST
FT TRYON PL
GANSEVOORT ST
GAY ST
GEORGE WASHINGTON BRIDGE
GOLD ST
GOUVERNEUR LN
GOUVERNEUR SLIP E
GOUVERNEUR SLIP W
GOUVERNEUR ST
GOUVERNOUR ST
GOVERNORS IS
GRACIE SQUARE
GRACIE TERRACE
GRAMERCY PARK E
GRAMERCY PARK N
GRAMERCY PARK S
GRAMERCY PARK W
GRAND ARMY PLAZA
GRAND ST
GREAT JONES ALLEY
GREAT JONES ST
GREENE AVE
GREENE ST
GREENWICH AVE
GREENWICH CT
GREENWICH ST
GRESHAM RD
GROVE CT
GROVE ST
GROVE ST
GUSTAVE L. LEVY PL
HALF MOON RD
HAMILTON PL
HAMILTON PL
HAMILTON TERRACE
HANCOCK PL
HANOVER SQUARE
HANOVER ST
HARLEM RIVER DR
HARRISON ST
HAVEN AVE
HAY RD
HAYES PL
HENDERSON PL
HENRY BROWNE BLOCK
